Nominal Size,Nominal Size (DN),"Outside Diameter, inches",Identification,Pipe Schedule,"Wall Thickness, inches","Internal Diameter, inches","Internal Diameter, feet","Internal Area, square feet","e/D, Relative Roughness","e, Absolute Roughness, feet"
18,450,18,XS,,0.5,17,1.4167,1.57625,0.000106,0.00015
18,450,18,,40,0.562,16.876,1.4063,1.55334,0.000107,0.00015
18,450,18,,,0.625,16.75,1.3958,1.53023,0.000107,0.00015
18,450,18,,,0.688,16.624,1.3853,1.5073,0.000108,0.00015
18,450,18,,60,0.75,16.5,1.375,1.48489,0.000109,0.00015
18,450,18,,,0.812,16.376,1.3647,1.46266,0.00011,0.00015
18,450,18,,,0.875,16.25,1.3542,1.44024,0.000111,0.00015
18,450,18,,80,0.938,16.124,1.3437,1.41799,0.000112,0.00015
18,450,18,,,1,16,1.3333,1.39626,0.000113,0.00015
18,450,18,,,1.062,15.876,1.323,1.37471,0.000113,0.00015
18,450,18,,,1.125,15.75,1.3125,1.35297,0.000114,0.00015
18,450,18,,100,1.156,15.688,1.3073,1.34234,0.000115,0.00015
18,450,18,,,1.188,15.624,1.302,1.33141,0.000115,0.00015
18,450,18,,,1.25,15.5,1.2917,1.31036,0.000116,0.00015
18,450,18,,120,1.375,15.25,1.2708,1.26843,0.000118,0.00015
18,450,18,,140,1.562,14.876,1.2397,1.20698,0.000121,0.00015
18,450,18,,160,1.781,14.438,1.2032,1.13695,0.000125,0.00015
20,500,20,,5,0.188,19.624,1.6353,2.1004,0.000092,0.00015
20,500,20,,,0.219,19.562,1.6302,2.08715,0.000092,0.00015
20,500,20,,10,0.25,19.5,1.625,2.07394,0.000092,0.00015
20,500,20,,,0.281,19.438,1.6198,2.06077,0.000093,0.00015
20,500,20,,,0.312,19.376,1.6147,2.04765,0.000093,0.00015
20,500,20,,,0.344,19.312,1.6093,2.03414,0.000093,0.00015
20,500,20,STD,20,0.375,19.25,1.6042,2.0211,0.000094,0.00015
20,500,20,,,0.406,19.188,1.599,2.00811,0.000094,0.00015
20,500,20,,,0.438,19.124,1.5937,1.99473,0.000094,0.00015
20,500,20,,,0.469,19.062,1.5885,1.98182,0.000094,0.00015
20,500,20,XS,30,0.5,19,1.5833,1.96895,0.000095,0.00015
20,500,20,,,0.562,18.876,1.573,1.94333,0.000095,0.00015
20,500,20,,40,0.594,18.812,1.5677,1.93018,0.000096,0.00015
20,500,20,,,0.625,18.75,1.5625,1.91748,0.000096,0.00015
20,500,20,,,0.688,18.624,1.552,1.89179,0.000097,0.00015
20,500,20,,,0.75,18.5,1.5417,1.86668,0.000097,0.00015
20,500,20,,60,0.812,18.376,1.5313,1.84174,0.000098,0.00015
20,500,20,,,0.875,18.25,1.5208,1.81657,0.000099,0.00015
20,500,20,,,0.938,18.124,1.5103,1.79158,0.000099,0.00015
20,500,20,,,1,18,1.5,1.76715,0.0001,0.00015
20,500,20,,80,1.031,17.938,1.4948,1.75499,0.0001,0.00015
20,500,20,,,1.062,17.876,1.4897,1.74288,0.000101,0.00015
