,numeric,numeric,string,string,string,numeric,numeric,numeric,numeric,numeric,numeric,numeric,,
heading,Nominal Size,Nominal Outside Dia. (in),API Std.,"Standard
X-Strong
XXS",Pipe Schedule,"Nom. Wall Thickness
(in)",Nom. Internal Diameter (in),Internal Area (in²),Internal Diameter (ft),Internal Area (ft²),e (ft) (Roughness),"e/D
",,
data,16.000,16.000,,,140,1.438,13.1240,135.27600,1.09400,0.93900,0.000150,0.000137,,
data,16.000,16.000,,,160,1.594,12.8120,128.92100,1.06800,0.89500,0.000150,0.000140,,
data,18.000,18.000,,,5S,0.165,17.6700,245.22400,1.47300,1.70300,0.000150,0.000102,,
data,18.000,18.000,5L,,10S*,0.188,17.6240,243.94900,1.46900,1.69400,0.000150,0.000102,,
data,18.000,18.000,5L,,10,0.25,17.5000,240.52800,1.45800,1.67000,0.000150,0.000103,,
data,18.000,18.000,5L,,,0.281,17.4380,238.82700,1.45300,1.65900,0.000150,0.000103,,
data,18.000,18.000,5L,,20,0.312,17.3760,237.13200,1.44800,1.64700,0.000150,0.000104,,
data,18.000,18.000,5L,,,0.344,17.3120,235.38800,1.44300,1.63500,0.000150,0.000104,,
data,18.000,18.000,5L,STD,,0.375,17.2500,233.70500,1.43800,1.62300,0.000150,0.000104,,
data,18.000,18.000,5L,,,0.406,17.1880,232.02800,1.43200,1.61100,0.000150,0.000105,,
data,18.000,18.000,5L,,30,0.438,17.1240,230.30300,1.42700,1.59900,0.000150,0.000105,,
data,18.000,18.000,5L,,,0.469,17.0620,228.63900,1.42200,1.58800,0.000150,0.000105,,
data,18.000,18.000,5L,XS,,0.5,17.0000,226.98000,1.41700,1.57600,0.000150,0.000106,,
data,18.000,18.000,5L,,40,0.562,16.8760,223.68100,1.40600,1.55300,0.000150,0.000107,,
data,18.000,18.000,5L,,60,0.75,16.5000,213.82500,1.37500,1.48500,0.000150,0.000109,,
data,18.000,18.000,5L,,80,0.938,16.1240,204.19000,1.34400,1.41800,0.000150,0.000112,,
data,18.000,18.000,,,100,1.156,15.6880,193.29700,1.30700,1.34200,0.000150,0.000115,,
data,18.000,18.000,,,120,1.375,15.2500,182.65400,1.27100,1.26800,0.000150,0.000118,,
data,18.000,18.000,,,140,1.562,14.8760,173.80500,1.24000,1.20700,0.000150,0.000121,,
data,18.000,18.000,,,160,1.781,14.4380,163.72100,1.20300,1.13700,0.000150,0.000125,,
data,20.000,20.000,,,5S,0.188,19.6240,302.45800,1.63500,2.10000,0.000150,0.000092,,
data,20.000,20.000,,,10S*,0.218,19.5640,300.61100,1.63000,2.08800,0.000150,0.000092,,
data,20.000,20.000,5L,,10,0.25,19.5000,298.64800,1.62500,2.07400,0.000150,0.000092,,
data,20.000,20.000,5L,,,0.281,19.4380,296.75200,1.62000,2.06100,0.000150,0.000093,,
data,20.000,20.000,5L,,,0.312,19.3760,294.86200,1.61500,2.04800,0.000150,0.000093,,
data,20.000,20.000,5L,,,0.344,19.3120,292.91700,1.60900,2.03400,0.000150,0.000093,,
data,20.000,20.000,5L,STD,20,0.375,19.2500,291.03900,1.60400,2.02100,0.000150,0.000094,,
data,20.000,20.000,5L,,,0.406,19.1880,289.16700,1.59900,2.00800,0.000150,0.000094,,
data,20.000,20.000,5L,,,0.438,19.1240,287.24200,1.59400,1.99500,0.000150,0.000094,,
data,20.000,20.000,5L,,,0.469,19.0620,285.38200,1.58900,1.98200,0.000150,0.000094,,
data,20.000,20.000,5L,XS,30,0.5,19.0000,283.52900,1.58300,1.96900,0.000150,0.000095,,
data,20.000,20.000,,,40,0.594,18.8120,277.94600,1.56800,1.93000,0.000150,0.000096,,
data,20.000,20.000,5L,,60,0.812,18.3760,265.21100,1.53100,1.84200,0.000150,0.000098,,
data,20.000,20.000,,,80,1.031,17.9380,252.71900,1.49500,1.75500,0.000150,0.000100,,
data,20.000,20.000,,,100,1.281,17.4380,238.82700,1.45300,1.65900,0.000150,0.000103,,
data,20.000,20.000,,,120,1.5,17.0000,226.98000,1.41700,1.57600,0.000150,0.000106,,
data,20.000,20.000,,,140,1.75,16.5000,213.82500,1.37500,1.48500,0.000150,0.000109,,
data,20.000,20.000,,,160,1.969,16.0620,202.62300,1.33900,1.40700,0.000150,0.000112,,
data,22.000,22.000,,,5S,0.188,21.6240,367.25000,1.80200,2.55000,0.000150,0.000083,,
data,22.000,22.000,,,10S*,0.218,21.5640,365.21500,1.79700,2.53600,0.000150,0.000083,,
data,22.000,22.000,5L,,10,0.25,21.5000,363.05000,1.79200,2.52100,0.000150,0.000084,,
data,22.000,22.000,5L,,,0.281,21.4380,360.95900,1.78700,2.50700,0.000150,0.000084,,
data,22.000,22.000,5L,,,0.312,21.3760,358.87500,1.78100,2.49200,0.000150,0.000084,,
data,22.000,22.000,5L,,,0.344,21.3120,356.72900,1.77600,2.47700,0.000150,0.000084,,
data,22.000,22.000,5L,STD,20,0.375,21.2500,354.65600,1.77100,2.46300,0.000150,0.000085,,
data,22.000,22.000,5L,,,0.406,21.1880,352.59000,1.76600,2.44900,0.000150,0.000085,,
data,22.000,22.000,5L,,,0.438,21.1240,350.46300,1.76000,2.43400,0.000150,0.000085,,
