,numeric,numeric,numeric,string,numeric,numeric
heading,Nominal Size,Nominal Outside Dia. (in),"Nominal Wall Thickness
(in)",Preferred Size,Nominal Internal Diameter (in),e (ft)
data,11,11,0.15625,X,10.6875,0.002
data,11,11,0.1875,X,10.625,0.002
data,11,11,0.25,X,10.5,0.002
data,11,11,0.3125,X,10.375,0.002
data,11,11,0.375,X,10.25,0.002
data,11,11,0.5,X,10,0.002
data,11,11,0.625,X,9.75,0.002
data,12,12,0.125,X,11.75,0.002
data,12,12,0.15625,X,11.6875,0.002
data,12,12,0.1875,X,11.625,0.002
data,12,12,0.25,X,11.5,0.002
data,12,12,0.3125,X,11.375,0.002
data,12,12,0.375,X,11.25,0.002
data,12,12,0.5,X,11,0.002
data,12,12,0.625,X,10.75,0.002
data,1/32 to 1/8,,Up to 0.018,,,
data,>1/8 to 5/8,,Up to 0.018,,,
data,> 5/8 to 1,,Up to 0.018,,,
data,>1 to 2,,Up to 0.018,,,
data,>2 to 4,,Up to 0.018,,,
data,> 4 to 7,,Up to 0.018,,,
data,> 7 to 10,,Up to 0.018,,,
data,1/32 to 1/8,,0.018 inclusive to 0.025,,,
data,>1/8 to 5/8,,0.018 inclusive to 0.025,,,
data,> 5/8 to 1,,0.018 inclusive to 0.025,,,
data,>1 to 2,,0.018 inclusive to 0.025,,,
data,>2 to 4,,0.018 inclusive to 0.025,,,
data,> 4 to 7,,0.018 inclusive to 0.025,,,
data,> 7 to 10,,0.018 inclusive to 0.025,,,
data,1/32 to 1/8,,0.025 inclusive to 0.035,,,
data,>1/8 to 5/8,,0.025 inclusive to 0.035,,,
data,> 5/8 to 1,,0.025 inclusive to 0.035,,,
data,>1 to 2,,0.025 inclusive to 0.035,,,
data,>2 to 4,,0.025 inclusive to 0.035,,,
data,> 4 to 7,,0.025 inclusive to 0.035,,,
data,> 7 to 10,,0.025 inclusive to 0.035,,,
data,1/32 to 1/8,,0.035 inclusive to 0.058,,,
data,>1/8 to 5/8,,0.035 inclusive to 0.058,,,
data,> 5/8 to 1,,0.035 inclusive to 0.058,,,
data,>1 to 2,,0.035 inclusive to 0.058,,,
data,>2 to 4,,0.035 inclusive to 0.058,,,
data,> 4 to 7,,0.035 inclusive to 0.058,,,
data,> 7 to 10,,0.035 inclusive to 0.058,,,
data,1/32 to 1/8,,0.058 inclusive to 0.083,,,
data,>1/8 to 5/8,,0.058 inclusive to 0.083,,,
data,> 5/8 to 1,,0.058 inclusive to 0.083,,,
data,>1 to 2,,0.058 inclusive to 0.083,,,
data,>2 to 4,,0.058 inclusive to 0.083,,,
data,> 4 to 7,,0.058 inclusive to 0.083,,,
data,> 7 to 10,,0.058 inclusive to 0.083,,,
data,1/32 to 1/8,,0.083 inclusive to 0.120,,,
data,>1/8 to 5/8,,0.083 inclusive to 0.120,,,
data,> 5/8 to 1,,0.083 inclusive to 0.120,,,
data,>1 to 2,,0.083 inclusive to 0.120,,,
data,>2 to 4,,0.083 inclusive to 0.120,,,
data,> 4 to 7,,0.083 inclusive to 0.120,,,
data,> 7 to 10,,0.083 inclusive to 0.120,,,
data,1/32 to 1/8,,0.120 inclusive to 0.165,,,
data,>1/8 to 5/8,,0.120 inclusive to 0.165,,,
data,> 5/8 to 1,,0.120 inclusive to 0.165,,,
data,>1 to 2,,0.120 inclusive to 0.165,,,
data,>2 to 4,,0.120 inclusive to 0.165,,,
data,> 4 to 7,,0.120 inclusive to 0.165,,,
data,> 7 to 10,,0.120 inclusive to 0.165,,,
data,1/32 to 1/8,,0.165 inclusive to 0.220,,,
data,>1/8 to 5/8,,0.165 inclusive to 0.220,,,
data,> 5/8 to 1,,0.165 inclusive to 0.220,,,
data,>1 to 2,,0.165 inclusive to 0.220,,,
data,>2 to 4,,0.165 inclusive to 0.220,,,
data,> 4 to 7,,0.165 inclusive to 0.220,,,
data,> 7 to 10,,0.165 inclusive to 0.220,,,
data,1/32 to 1/8,,0.220 inclusive to 0.284,,,
data,>1/8 to 5/8,,0.220 inclusive to 0.284,,,
data,> 5/8 to 1,,0.220 inclusive to 0.284,,,
data,>1 to 2,,0.220 inclusive to 0.284,,,
data,>2 to 4,,0.220 inclusive to 0.284,,,
data,> 4 to 7,,0.220 inclusive to 0.284,,,
data,> 7 to 10,,0.220 inclusive to 0.284,,,
data,1/32 to 1/8,,0.284 inclusive to 0.380,,,
data,>1/8 to 5/8,,0.284 inclusive to 0.380,,,
data,> 5/8 to 1,,0.284 inclusive to 0.380,,,
data,>1 to 2,,0.284 inclusive to 0.380,,,
data,>2 to 4,,0.284 inclusive to 0.380,,,
data,> 4 to 7,,0.284 inclusive to 0.380,,,
data,> 7 to 10,,0.284 inclusive to 0.380,,,
data,1/32 to 1/8,,0.380 and over,,,
data,>1/8 to 5/8,,0.380 and over,,,
data,> 5/8 to 1,,0.380 and over,,,
data,>1 to 2,,0.380 and over,,,
data,>2 to 4,,0.380 and over,,,
data,> 4 to 7,,0.380 and over,,,
data,> 7 to 10,,0.380 and over,,,
data,</= 1/8,,,,,
data,1/8 </= 5/8,,,,,
data,5/8 </= 1,,,,,
data,1 </= 2,,,,,
data,2 </= 3,,,,,
data,3 </= 4,,,,,
data,4 </= 5,,,,,
data,5 </= 6,,,,,
data,6 </= 8,,,,,
data,8 </= 10,,,,,
